"","TMIN","TMAX"
"2023-12-01",28,48
"2023-12-02",33,37
"2023-12-03",32,37
"2023-12-04",24,41
"2023-12-06",20,38
"2023-12-07",22,44
"2023-12-08",27,57
"2023-12-09",35,58
"2023-12-10",26,42
"2023-12-11",12,33
"2023-12-12",16,42
"2023-12-13",23,38
"2023-12-14",17,46
"2023-12-15",17,53
"2023-12-16",29,55
"2023-12-17",38,45
"2023-12-18",25,39
"2023-12-19",9,29
"2023-12-20",11,37
"2023-12-21",22,45
"2023-12-22",22,48
"2023-12-23",42,47
"2023-12-24",41,55
"2023-12-25",49,58
"2023-12-26",33,55
"2023-12-27",32,37
"2023-12-28",32,40
"2023-12-29",32,35
"2023-12-30",17,36
"2023-12-31",17,40
